beneficiaria_id;beneficiaria_nome;id;secretaria_id;secretaria_sigla;valor_recurso;valor_repasse;ano_recurso;beneficiaria_nome_norm;match_name;match_cnpj;match_type;score;cd_natureza_juridica;natureza_juridica_desc
181;CASA DO PARAPLÃ‰GICO DE SANTOS;2009;19;SEDS;269207,65;22733,97;2022;CASA DO PARAPLAGICO DE SANTOS;CASA DO PARAPLEGICO DE SANTOS;58263898000170,0;Fuzzy;0,9655172413793104;3999,0;Associacao Privada
181;CASA DO PARAPLÃ‰GICO DE SANTOS;2010;19;SEDS;68770,46;5730,87;2022;CASA DO PARAPLAGICO DE SANTOS;CASA DO PARAPLEGICO DE SANTOS;58263898000170,0;Fuzzy;0,9655172413793104;3999,0;Associacao Privada
181;CASA DO PARAPLÃ‰GICO DE SANTOS;2011;19;SEDS;158718,15;13226,51;2022;CASA DO PARAPLAGICO DE SANTOS;CASA DO PARAPLEGICO DE SANTOS;58263898000170,0;Fuzzy;0,9655172413793104;3999,0;Associacao Privada
182;CASA VÓ BENEDITA;2013;19;SEDS;347870,77;28989,23;2022;CASA VO BENEDITA;CASA VO BENEDITA;55674980000280,0;Exact;1,0;3999,0;Associacao Privada
182;CASA VÓ BENEDITA;2014;19;SEDS;272934,18;22744,52;2022;CASA VO BENEDITA;CASA VO BENEDITA;55674980000280,0;Exact;1,0;3999,0;Associacao Privada
182;CASA VÓ BENEDITA;2016;19;SEDS;55810,37;4650,86;2022;CASA VO BENEDITA;CASA VO BENEDITA;55674980000280,0;Exact;1,0;3999,0;Associacao Privada
498;USC SAÚDE;2026;13;SMS;4129409,52;344117,46;2022;USC SAUDE;USC SAUDE;36123690000202,0;Exact;1,0;3301,0;Organizacao Social (OS)
95;ASPP - ASSISTÃŠNCIA SOCIAL DA PONTA DA PRAIA;2027;12;SEDUC;913112,42;217407,72000000003;2022;ASPP - ASSISTASNCIA SOCIAL DA PONTA DA PRAIA;ASSISTENCIA SOCIAL DA PONTA DA PRAIA;60015070000145,0;Fuzzy;0,875;3999,0;Associacao Privada
49;APM DA UME IRMÃƒÂƒ MARIA DOLORES;2033;12;SEDUC;5232,0;1744,0;2022;APM DA UME IRMAA MARIA DOLORES;CENTRO DE DIREITOS HUMANOS DA BAIXADA SANTISTA IRMA MARIA DOLORES;11438416000102,0;Fuzzy;0,7692307692307693;3999,0;Associacao Privada
127;ASSOCIAÇÃO EDUCACIONAL E ASSISTENCIAL CASA MÁGICA;2045;12;SEDUC;1557120,98;370743,09;2022;ASSOCIACAO EDUCACIONAL E ASSISTENCIAL CASA MAGICA;ASSOCIACAO EDUCACIONAL E ASSISTENCIAL CASA MAGICA;19716290000100,0;Exact;1,0;3999,0;Associacao Privada
172;ASSOCIAÇÃO FILANTRÓPICA CATÓLICA ORTODOXA;2062;12;SEDUC;1174073,54;279541,32;2022;ASSOCIACAO FILANTROPICA CATOLICA ORTODOXA;ASSOCIACAO FILANTROPICA CATOLICA ORTODOXA;3387871000289,0;Exact;1,0;3999,0;Associacao Privada
496;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;2070;13;SMS;18048546,65;300000,0;2022;SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;61699567008843,0;Exact;1,0;3999,0;Associacao Privada
