cnpj;ano;url_relatorio;num_relatorio
58.191.008/0001-62;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/159494/RelatorioCircunstanciado.html;159494
58.251.711/0001-19;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/162991/RelatorioCircunstanciado.html;162991
58.250.267/0001-17;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/164189/RelatorioCircunstanciado.html;164189
15.699.589/0001-35;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/167017/RelatorioCircunstanciado.html;167017
58.230.293/0001-83;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/25830/RelatorioCircunstanciado.html;25830
58.218.207/0001-17;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/25852/RelatorioCircunstanciado.html;25852
58.194.622/0001-88;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/26387/RelatorioCircunstanciado.html;26387
58.225.905/0001-40;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/26785/RelatorioCircunstanciado.html;26785
64.715.899/0001-01;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27268/RelatorioCircunstanciado.html;27268
58.191.008/0001-62;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27353/RelatorioCircunstanciado.html;27353
58.198.128/0001-91;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27427/RelatorioCircunstanciado.html;27427
71.545.636/0001-67;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27623/RelatorioCircunstanciado.html;27623
58.269.515/0001-71;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27680/RelatorioCircunstanciado.html;27680
71.545.636/0001-67;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27960/RelatorioCircunstanciado.html;27960
58.207.572/0001-26;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/28195/RelatorioCircunstanciado.html;28195
58.191.008/0001-62;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/11076/RelatorioCircunstanciado.html;11076
58.219.551/0001-20;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/28876/RelatorioCircunstanciado.html;28876
54.346.127/0001-96;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/31129/RelatorioCircunstanciado.html;31129
68.018.050/0001-30;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/31273/RelatorioCircunstanciado.html;31273
58.218.207/0001-17;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/32116/RelatorioCircunstanciado.html;32116
66.505.017/0001-09;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/32182/RelatorioCircunstanciado.html;32182
58.198.227/0001-73;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/33257/RelatorioCircunstanciado.html;33257
58.253.667/0001-86;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/36089/RelatorioCircunstanciado.html;36089
58.250.267/0001-17;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/37260/RelatorioCircunstanciado.html;37260
51.642.288/0001-39;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/37986/RelatorioCircunstanciado.html;37986
58.198.524/0001-19;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/39992/RelatorioCircunstanciado.html;39992
52.246.451/0001-07;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/40286/RelatorioCircunstanciado.html;40286
58.251.711/0001-19;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/41461/RelatorioCircunstanciado.html;41461
58.167.032/0001-66;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/43500/RelatorioCircunstanciado.html;43500
71.545.636/0001-67;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/43541/RelatorioCircunstanciado.html;43541
64.042.740/0001-73;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/44163/RelatorioCircunstanciado.html;44163
66.505.017/0001-09;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/13035/RelatorioCircunstanciado.html;13035
58.269.515/0001-71;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/51233/RelatorioCircunstanciado.html;51233
58.222.910/0001-07;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/51625/RelatorioCircunstanciado.html;51625
55.674.980/0001-08;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/53215/RelatorioCircunstanciado.html;53215
58.219.551/0001-20;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/54165/RelatorioCircunstanciado.html;54165
22.690.069/0001-27;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/54426/RelatorioCircunstanciado.html;54426
58.207.572/0001-26;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/55093/RelatorioCircunstanciado.html;55093
58.191.008/0001-62;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/55406/RelatorioCircunstanciado.html;55406
58.198.227/0001-73;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/56125/RelatorioCircunstanciado.html;56125
58.198.128/0001-91;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/56202/RelatorioCircunstanciado.html;56202
58.228.453/0001-50;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/58477/RelatorioCircunstanciado.html;58477
64.042.740/0001-73;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/58915/RelatorioCircunstanciado.html;58915
46.798.492/0001-03;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/61877/RelatorioCircunstanciado.html;61877
58.250.267/0001-17;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/62458/RelatorioCircunstanciado.html;62458
52.246.451/0001-07;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/62947/RelatorioCircunstanciado.html;62947
58.194.622/0001-88;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/63190/RelatorioCircunstanciado.html;63190
58.198.524/0001-19;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/63581/RelatorioCircunstanciado.html;63581
58.222.878/0001-51;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/65053/RelatorioCircunstanciado.html;65053
58.252.602/0001-16;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/65867/RelatorioCircunstanciado.html;65867
71.545.636/0001-67;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/66369/RelatorioCircunstanciado.html;66369
58.253.667/0001-86;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/68239/RelatorioCircunstanciado.html;68239
58.225.905/0001-40;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/69278/RelatorioCircunstanciado.html;69278
58.263.898/0001-70;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/70307/RelatorioCircunstanciado.html;70307
58.222.910/0001-07;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/74915/RelatorioCircunstanciado.html;74915
58.225.905/0001-40;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/75504/RelatorioCircunstanciado.html;75504
58.218.215/0001-63;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/75812/RelatorioCircunstanciado.html;75812
58.198.128/0001-91;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/75961/RelatorioCircunstanciado.html;75961
58.413.451/0001-30;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/76116/RelatorioCircunstanciado.html;76116
58.191.008/0001-62;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/77458/RelatorioCircunstanciado.html;77458
58.167.032/0001-66;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/78086/RelatorioCircunstanciado.html;78086
58.219.551/0001-20;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/79547/RelatorioCircunstanciado.html;79547
58.222.910/0001-07;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/80148/RelatorioCircunstanciado.html;80148
58.222.910/0001-07;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/80149/RelatorioCircunstanciado.html;80149
58.222.910/0001-07;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/80151/RelatorioCircunstanciado.html;80151
55.674.782/0001-36;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/82633/RelatorioCircunstanciado.html;82633
64.042.740/0001-73;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/84168/RelatorioCircunstanciado.html;84168
58.251.711/0001-19;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/84201/RelatorioCircunstanciado.html;84201
58.250.267/0001-17;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/85561/RelatorioCircunstanciado.html;85561
52.246.451/0001-07;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/85878/RelatorioCircunstanciado.html;85878
58.269.515/0001-71;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/86764/RelatorioCircunstanciado.html;86764
11.043.826/0001-54;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/88089/RelatorioCircunstanciado.html;88089
51.642.288/0001-39;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/88270/RelatorioCircunstanciado.html;88270
58.413.451/0001-30;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/91707/RelatorioCircunstanciado.html;91707
71.545.636/0001-67;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/92167/RelatorioCircunstanciado.html;92167
58.207.572/0001-26;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/93282/RelatorioCircunstanciado.html;93282
58.167.032/0001-66;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/96999/RelatorioCircunstanciado.html;96999
58.251.711/0001-19;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/18383/RelatorioCircunstanciado.html;18383
58.198.128/0001-91;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/18388/RelatorioCircunstanciado.html;18388
58.232.521/0001-54;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/98919/RelatorioCircunstanciado.html;98919
58.198.128/0001-91;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/98970/RelatorioCircunstanciado.html;98970
58.198.227/0001-73;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/98993/RelatorioCircunstanciado.html;98993
58.225.905/0001-40;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99175/RelatorioCircunstanciado.html;99175
60.015.070/0001-45;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99354/RelatorioCircunstanciado.html;99354
58.222.878/0001-51;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99711/RelatorioCircunstanciado.html;99711
64.715.899/0001-01;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99990/RelatorioCircunstanciado.html;99990
55.674.980/0001-08;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/100128/RelatorioCircunstanciado.html;100128
46.781.142/0001-34;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/100372/RelatorioCircunstanciado.html;100372
58.207.572/0001-26;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101058/RelatorioCircunstanciado.html;101058
58.236.456/0001-35;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101126/RelatorioCircunstanciado.html;101126
58.218.215/0001-63;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101299/RelatorioCircunstanciado.html;101299
58.222.910/0001-07;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101906/RelatorioCircunstanciado.html;101906
46.170.494/0001-53;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/102207/RelatorioCircunstanciado.html;102207
58.252.602/0001-16;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/102343/RelatorioCircunstanciado.html;102343
58.224.692/0001-31;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/102410/RelatorioCircunstanciado.html;102410
68.018.050/0001-30;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/103555/RelatorioCircunstanciado.html;103555
62.292.420/0001-46;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104019/RelatorioCircunstanciado.html;104019
55.674.782/0001-36;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104181/RelatorioCircunstanciado.html;104181
58.247.503/0001-46;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104292/RelatorioCircunstanciado.html;104292
58.253.667/0001-86;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104449/RelatorioCircunstanciado.html;104449
71.550.222/0001-26;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105044/RelatorioCircunstanciado.html;105044
62.292.073/0001-51;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105358/RelatorioCircunstanciado.html;105358
58.251.711/0001-19;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105392/RelatorioCircunstanciado.html;105392
52.246.451/0001-07;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105595/RelatorioCircunstanciado.html;105595
58.219.551/0001-20;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105695/RelatorioCircunstanciado.html;105695
58.230.293/0001-83;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105762/RelatorioCircunstanciado.html;105762
58.198.524/0001-19;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/106322/RelatorioCircunstanciado.html;106322
15.321.633/0001-79;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/106753/RelatorioCircunstanciado.html;106753
58.263.898/0001-70;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/107304/RelatorioCircunstanciado.html;107304
