cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;cd_natureza_juridica_osc;dt_fundacao_osc;situacao_cadastral;tx_endereco_completo;cd_municipio;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social;Area_Associacoes_patronais_e_profissionais;Area_Cultura_e_recreacao;Area_Desenvolvimento_e_defesa_de_direitos_e_interesses;Area_Educacao_e_pesquisa;Area_Outras_atividades_associativas;Area_Religiao;Area_Saude;SubArea_Assistencia_social;SubArea_Associacoes_de_atividades_nao_especificadas_anteriormente;SubArea_Associacoes_de_produtores_rurais_pescadores_e_similares;SubArea_Associacoes_empresariais_e_patronais;SubArea_Associacoes_profissionais;SubArea_Atividades_de_apoio_a_educacao;SubArea_Cultura_e_arte;SubArea_Desenvolvimento_e_defesa_de_direitos;SubArea_Educacao_infantil;SubArea_Educacao_profissional;SubArea_Ensino_fundamental;SubArea_Ensino_superior;SubArea_Esportes_e_recreacao;SubArea_Estudos_e_pesquisas;SubArea_Hospitais;SubArea_Outras_formas_de_educacao_ensino;SubArea_Outros_servicos_de_saude;SubArea_Religiao
40935460000126;FORUM EMPRESARIAL HISPANO-BRASILEIRO;FEHB;3999;2021-02-02;Ativa;AVENIDA ANA COSTA286, SALA  A, VILA MATHIAS, Santos, SP, 11060000;3548500.0;SANTOS;SP;-46,3308607569996;-23,9511287699996;94111;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8802883000165;CRECHE COMUNITARIA AMIGOS;;3999;2007-04-17;Ativa;RUA QUINZE DE AGOSTO456, MORRO SO BENTO, Santos, SP, 11082320;3548500.0;SANTOS;SP;-46,3362750299996;-23,9386280589996;85112;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21370103000466;CENTRO INTEGRADO DE ASSISTENCIA A PESSOAS COM CANCER - CENIN;CENIN - UNIDADE ADMINISTRATIVA;3999;2015-02-06;Ativa;RUA MONSENHOR PAULA RODRIGUES75, ENCRUZILHADA, Santos, SP, 11075350;3548500.0;SANTOS;SP;-46,3324791199996;-23,9507380839996;88006;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49954662000190;ASSOCIACAO LAR CRISTAO SAO FRANCISCO DE ASSIS;;3999;1979-02-07;Ativa;RUA SILVA JARDIM399, MACUCO, Santos, SP, 11015021;3548500.0;SANTOS;SP;-46,3193711909996;-23,9502325699996;87115;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51680536000136;ASSOC EMPRESARIOS CONSTRUCAO CIVIL DA BAIXADA SANTISTA;ASSECOB;3999;1981-08-27;Ativa;AVENIDA ANA COSTA255, 1 ANDAR, VILA MATHIAS, Santos, SP, 11060001;3548500.0;SANTOS;SP;-46,3308607569996;-23,9511287699996;94111;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42466746000135;ASSOCIACAO DAS ADEGAS DA BAIXADA SANTISTA;;3999;2021-02-04;Inapta;AVENIDA CONSELHEIRO RODRIGUES ALVES368, MACUCO, Santos, SP, 11015202;3548500.0;SANTOS;SP;-46,3197914809996;-23,9561794239996;94995;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6644509000153;APEMBS - ASSOCIACAO DOS PORTADORES DE ESCLEROSE MULTIPLA DA BAIXADA SANTISTA;;3999;2004-02-03;Ativa;RUA PARA107, CAMPO GRANDE, Santos, SP, 11075410;3548500.0;SANTOS;SP;-46,3326652669996;-23,9547916159996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31599410000124;MINISTERIO PETENCOSTAL JESUS E VIDA;MINISTERIO PETENCOSTAL JESUS E VIDA;3220;2018-08-21;Ativa;RUA DOIS2231, TERREO, VILA PROGRESSO, Santos, SP, 11080530;3548500.0;SANTOS;SP;-46,3547299939996;-23,9593869789996;94910;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
55678320000197;ASSOCIACAO BRAZ CUBAS;BRAZ CUBAS;3999;1987-06-02;Ativa;RUA BARAO DE PARANAPIACABA183, ENCRUZILHADA, Santos, SP, 11050250;3548500.0;SANTOS;SP;-46,3302072219996;-23,9566858359996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22690069000127;SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA;STAR OF HOPE E ESTRELA DA ESPERANCA;3999;1971-06-17;Ativa;RUA CAMPOS MELLO, 157, SALA  1214, VILA MATHIAS, Santos, SP, 11015011;3548500.0;SANTOS;SP;-46,3205180703;-23,9483320761;85112;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
