match_name;match_cnpj;natureza_juridica_desc;valor_repasse
ASSOCIACAO ESPIRITA RECANTO DA PAZ FRANCISCO DE ASSIS;10992681000175,0;Associacao Privada;45000,0
ASSOCIACAO COMUNITARIA DE MORADORES DO MORRO DO PACHECO;49561455000175,0;Associacao Privada;43642,46
ANEC ASSOCIACAO NACIONAL DE ESPORTES E CULTURA;43585859000112,0;Associacao Privada;40000,0
ASSOCIACAO NACIONAL DE ESPORTES;6134874000118,0;Associacao Privada;40000,0
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DE CARUARA;54350574000119,0;Associacao Privada;39742,56
INSTITUTO LUTHER KING;34429718000110,0;Associacao Privada;39440,0
SOCIEDADE DE MELHORAMENTOS DO BAIRRO SANTA MARIA;30119751000192,0;Associacao Privada;37044,31
SOC PRO MELHORAMENTOS DO BAIRRO JARDIM RADIO CLUBE;58260951000180,0;Associacao Privada;37044,31
SOC DE MELHORAMENTOS DO BAIRRO DA PONTA DA PRAIA;51681187000177,0;Associacao Privada;37044,31
ASSOCIACAO DE JUDO ROGERIO SAMPAIO;71548838000162,0;Associacao Privada;36750,0
ASSOCIACAO DE TAI CHI CHUAN BAIXADA SANTISTA MESTRE AUGUSTO LEITAO PRIMEIRA LINHAGEM DA ESCOLA DE TAI CHI PAI LIN;4646746000128,0;Associacao Privada;36703,1
SOCIEDADE ARS VIVA;58250168000135,0;Associacao Privada;35000,0
SOCIEDADE DE MELHORAMENTO DO JARDIM SAO MANOEL;51653194000165,0;Associacao Privada;31200,0
SOC HUMANITARIA DOS EMPREGADOS DO COMERCIO DE SANTOS;58198292000107,0;Associacao Privada;30000,0
INSTITUTO SINDEST;38193222000140,0;Associacao Privada;30000,0
ROTARY CLUB DE SANTOS - GONZAGA;12028165000150,0;Associacao Privada;30000,0
ASSOCIACAO JAPONESA DE SANTOS - AJS;64713514000177,0;Associacao Privada;30000,0
COLETIVO AFROTU;48743045000182,0;Associacao Privada;28000,0
ASSOCIACAO CULTURAL JOSE MARTI DA BAIXADA SANTISTA;17235835000123,0;Associacao Privada;28000,0
LAR SANTO EXPEDITO;5349323000109,0;Associacao Privada;25866,88
ASSOCIACAO BRASILEIRA ACOLHER E TRANSFORMAR VIDAS.;47763345000160,0;Associacao Privada;25000,0
